"","Text","Cluster"
"1","DIE_LEUTE_VON_SELDWYLA_Q936322","Cluster 2"
"2","SIEGWART_noWikiID","Cluster 1"
"3","MARQUISE_VON_O_noWikiID","Cluster 2"
"4","DER_WINTERGARTEN_noWikiID","Cluster 1"
"5","RINALDO_RINALDINI_noWikiID","Cluster 2"
"6","DIE_BARONIN_noWikiID","Cluster 4"
"7","DER_MAJOR_noWikiID","Cluster 3"
"8","ARBEIT_noWikiID","Cluster 2"
"9","ELLEN_VON_DER_WEIDEN_noWikiID","Cluster 3"
"10","DER_UEBERGANG_noWikiID","Cluster 3"
"11","IM_SCHLARAFFENLAND_Q1285424","Cluster 2"
"12","FREIGEBOREN_noWikiID","Cluster 2"
"13","HEINRICH_JUNG_STILLINGS_JUGEND_noWikiID","Cluster 3"
"14","HOLLAENDISCHE_LIEBHABEREIEN_noWikiID","Cluster 4"
"15","MEISTER_FLOH_Q837936","Cluster 4"
"16","LIEBESZAUBER_noWikiID","Cluster 3"
"17","DIE_WAHLVERWANDTSCHAFTEN_Q951198","Cluster 2"
"18","AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377","Cluster 2"
"19","AMANDA_UND_EDUARD_noWikiID","Cluster 3"
"20","L'ARRABIATA_noWikiID","Cluster 4"
"21","BUNTE_STEINE_Q1009887","Cluster 2"
"22","DIE_HOSEN_DES_HERRN_VON_BREDOW_noWikiID","Cluster 3"
"23","ULI_DER_PAECHTER_noWikiID","Cluster 2"
"24","GESCHICHTE_DES_FRAEULEINS_VON_STERNHEIM_Q1517346","Cluster 1"
"25","AESTHETISCHE_FELDZUEGE_noWikiID","Cluster 4"
"26","BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID","Cluster 3"
"27","PRINZESSIN_BRAMBILLA_Q570890","Cluster 3"
"28","KLEIN_ZACHES_GENANNT_noWikiID","Cluster 3"
"29","REVOLUTION_UND_CONTREREVOLUTION_noWikiID","Cluster 3"
"30","LYDIA_noWikiID","Cluster 3"
"31","DAS_ERDBEERIMAREILI_noWikiID","Cluster 4"
"32","JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ_noWikiID","Cluster 2"
"33","DIE_KAESEREI_IN_DER_VEHFREUDE_noWikiID","Cluster 3"
"34","ELSI,_DIE_SELTSAME_MAGD_Q1333830","Cluster 4"
"35","DER_HUNGERPASTOR_Q1194487","Cluster 1"
"36","IN_ST._JUERGEN_Q105232019","Cluster 4"
"37","INNOCENS_Q1664115","Cluster 3"
"38","BEATRICE_noWikiID","Cluster 3"
"39","DER_WALDBRUNNEN_noWikiID","Cluster 3"
"40","DER_HEXENSABBAT_noWikiID","Cluster 3"
"41","DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID","Cluster 3"
"42","DER_GENIUS_noWikiID","Cluster 1"
"43","HERMANN_VON_UNNA_noWikiID","Cluster 4"
"44","DER_GEISTERSEHER_Q1193812","Cluster 2"
"45","CÉCILE_noWikiID","Cluster 1"
"46","DIE_LEUTE_AUS_DEM_WALDE_Q1214404","Cluster 1"
"47","L'ADULTERA_Q1744488","Cluster 2"
"48","KRAMBAMBULI_(ERZAEHLUNG)_Q1385007","Cluster 4"
"49","DIE_GEIER-WALLY_(ROMAN)_Q1212872","Cluster 2"
"50","AMAZONENSCHLACHT_noWikiID","Cluster 4"
"51","DER_BUETTNERBAUER_noWikiID","Cluster 2"
"52","RITTMEISTER_BRAND_noWikiID","Cluster 2"
"53","AUS_TROTZKOPFS_EHE_noWikiID","Cluster 2"
"54","LA_SIBYLLE_noWikiID","Cluster 4"
"55","CLEMENTINE_noWikiID","Cluster 3"
"56","JENNY_noWikiID","Cluster 3"
"57","VERWORRENES_LEBEN_noWikiID","Cluster 1"
"58","DER_CONDOR_Q19156156","Cluster 4"
"59","DIE_EUROPAMUEDEN_noWikiID","Cluster 3"
"60","UNTERHALTUNGEN_MIT_EINER_HEILIGEN_noWikiID","Cluster 3"
"61","LENZ_(BUECHNER)_Q353180","Cluster 3"
"62","EINE_AEGYPTISCHE_KOENIGSTOCHTER_noWikiID","Cluster 3"
"63","DER_NACHSOMMER_Q167320","Cluster 3"
"64","EIN_BEKENNTNIS_noWikiID","Cluster 3"
"65","SCHWEIGEN_noWikiID","Cluster 3"
"66","DAS_WALDROESCHEN_noWikiID","Cluster 2"
"67","DER_JUNGE_TISCHLERMEISTER_Q1198964","Cluster 3"
"68","AUF_DER_UNIVERSITAET_Q15792139","Cluster 3"
"69","MADONNA_noWikiID","Cluster 3"
"70","BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617","Cluster 3"
"71","DIE_FRAU_PROFESSORIN_noWikiID","Cluster 3"
"72","DIE_NACHBARN_noWikiID","Cluster 2"
"73","DAS_HEIMWEH_Q1168923","Cluster 3"
"74","LEBEN_DES_VERGNUEGTEN_SCHULMEISTERLEIN_MARIA_WUTZ_IN_AUENTHAL_Q1810880","Cluster 2"
"75","HERRMANN_UND_ULRIKE_noWikiID","Cluster 1"
"76","POLIZEIGESCHICHTEN_noWikiID","Cluster 4"
"77","NEUE_GESCHICHTEN_AUS_DEM_GHETTO_noWikiID","Cluster 3"
"78","RUHE_IST_DIE_ERSTE_BUERGERPFLICHT_noWikiID","Cluster 1"
"79","DER_LANDVOGT_VON_GREIFENSEE_Q1195171","Cluster 4"
"80","DIE_RITTER_VOM_GEISTE_noWikiID","Cluster 1"
"81","ISEGRIMM_noWikiID","Cluster 1"
"82","SELTSAMES_BEGEGNEN_UND_WIEDERSEHEN_Q2268722","Cluster 4"
"83","LOTTI,_DIE_UHRMACHERIN_noWikiID","Cluster 3"
"84","KINDER_DER_WELT_noWikiID","Cluster 2"
"85","DIE_LETZTE_RECKENBURGERIN_noWikiID","Cluster 2"
"86","DER_SCHUEDDERUMP_Q1196819","Cluster 2"
"87","MEISTER_MARTIN_DER_KUEFNER_UND_SEINE_GESELLEN_Q1918300","Cluster 4"
"88","DER_ZAUBERRING_noWikiID","Cluster 3"
"89","ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540","Cluster 1"
"90","KLEIDER_MACHEN_LEUTE_Q1746163","Cluster 3"
"91","DER_FAUST_DER_MORGENLAENDER_noWikiID","Cluster 3"
"92","ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE_noWikiID","Cluster 4"
"93","WILHELM_MEISTERS_WANDERJAHRE_Q478344","Cluster 2"
"94","UNTERM_RAD_Q1325403","Cluster 3"
"95","IM_NACHBARHAUSE_LINKS_noWikiID","Cluster 4"
"96","DRAUSSEN_IM_HEIDEDORF_Q84314019","Cluster 3"
"97","DIE_GUENDERODE_noWikiID","Cluster 3"
"98","MOZART_AUF_DER_REISE_NACH_PRAG_Q1951309","Cluster 4"
"99","DER_ARME_SPIELMANN_Q1198306","Cluster 2"
"100","DIES_BUCH_GEHOERT_DEM_KOENIG_noWikiID","Cluster 3"
"101","ASPASIA_noWikiID","Cluster 3"
"102","JAKOB_VON_GUNTEN_Q1679462","Cluster 4"
"103","CHRISTA_RUHLAND_noWikiID","Cluster 3"
"104","EINE_AUSSCHWEIFUNG_noWikiID","Cluster 3"
"105","DER_RANGIERBAHNHOF_noWikiID","Cluster 3"
"106","DAS_RECHT_DER_MUTTER_noWikiID","Cluster 2"
"107","DEUTSCHER_ADEL_(WILHELM_RAABE)_Q1204575","Cluster 3"
"108","AUCH_EINER_Q758582","Cluster 2"
"109","VOR_DEM_STURM_(ROMAN)_Q1273542","Cluster 1"
"110","ZUM_WILDEN_MANN_Q229600","Cluster 3"
"111","DSCHINNISTAN_Q1262121","Cluster 2"
"112","DER_GRUENE_HEINRICH_Q1198871","Cluster 1"
"113","DAS_VERLORENE_LACHEN_Q1171678","Cluster 3"
"114","JULCHEN_GRUENTHAL_noWikiID","Cluster 1"
"115","MARIA_noWikiID","Cluster 1"
"116","DER_REDLICHE_MANN_AM_HOFE_noWikiID","Cluster 1"
"117","DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER_noWikiID","Cluster 2"
"118","DIE_INSEL_FELSENBURG_Q1664415","Cluster 2"
"119","DIE_LIEBENSWUERDIGE_ADALIE_noWikiID","Cluster 2"
"120","QUITT_(FONTANE)_Q1589389","Cluster 3"
"121","IRRUNGEN_WIRRUNGEN_Q669599","Cluster 2"
"122","DIE_WAFFEN_NIEDER_Q212687","Cluster 3"
"123","DER_EINSAME_noWikiID","Cluster 4"
"124","DER_TOD_GEORGS_noWikiID","Cluster 4"
"125","DORFGAENGE_noWikiID","Cluster 3"
"126","WALDHEIMAT_Q41547677","Cluster 2"
"127","TUBUTSCH_Q23793189","Cluster 4"
"128","DIE_CHINESISCHE_MAUER_noWikiID","Cluster 3"
"129","MAERCHEN_DES_LEBENS_noWikiID","Cluster 3"
"130","ARDISTAN_UND_DSCHINNISTAN_Q639501","Cluster 3"
"131","DER_ROLAND_VON_BERLIN_noWikiID","Cluster 2"
"132","DER_FALSCHE_WOLDEMAR_noWikiID","Cluster 3"
"133","DIE_ROSE_VON_DISENTIS_noWikiID","Cluster 3"
"134","REISE_NACH_BRAUNSCHWEIG_noWikiID","Cluster 4"
"135","DAS_MAERCHEN_DER_672._NACHT_Q1169916","Cluster 3"
"136","DER_AMTMANN_VON_HOHENWEILER_noWikiID","Cluster 2"
"137","GEHEIME_GESCHICHTE_DES_PHILOSOPHEN_PEREGRINUS_PROTEUS_noWikiID","Cluster 3"
"138","DREI_FEDERN_Q1256990","Cluster 4"
"139","BRIGITTA_(STIFTER)_Q539511","Cluster 2"
"140","ZWEI_SCHWESTERN_noWikiID","Cluster 3"
"141","DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS_noWikiID","Cluster 3"
"142","DIE_NARRENBURG_Q21328513","Cluster 3"
"143","DIE_SCHWARZE_GALEERE_noWikiID","Cluster 4"
"144","DER_JUNKER_VON_DENOW_Q1194662","Cluster 2"
"145","DIE_KINDER_VON_FINKENRODE_Q1213860","Cluster 1"
"146","SCHICKSALE_EINER_SEELE_noWikiID","Cluster 3"
"147","DIE_MARZIPANLIESE_Q1214732","Cluster 3"
"148","MUENCHHAUSEN_noWikiID","Cluster 1"
"149","DER_WALDBRUDER_Q1197891","Cluster 3"
"150","EDUARD_ALLWILLS_PAPIEREN_noWikiID","Cluster 3"
"151","DIE_LEIDEN_DES_JUNGEN_WERTHERS_Q151883","Cluster 2"
"152","EVREMONT_noWikiID","Cluster 2"
"153","EIGENSINN_UND_LAUNE_noWikiID","Cluster 3"
"154","REISENOVELLEN_noWikiID","Cluster 2"
"155","UNWAHRSCHEINLICHE_WAHRHAFTIGKEITEN_noWikiID","Cluster 4"
"156","DEN_STEIN_DER_WEISEN_noWikiID","Cluster 4"
"157","HALBTIER_noWikiID","Cluster 4"
"158","ARDINGHELLO_noWikiID","Cluster 3"
"159","PETER_SCHLEMIHLS_WUNDERSAME_GESCHICHTE_Q1093419","Cluster 2"
"160","ISABELLA_VON_AEGYPTEN_Q35783041","Cluster 2"
"161","DIE_WISKOTTENS_noWikiID","Cluster 2"
"162","DER_HEXENMEISTER_noWikiID","Cluster 4"
"163","ZUR_WALD-_UND_WASSERFREUDE_noWikiID","Cluster 2"
"164","HEIDI_(ROMAN)_Q271697","Cluster 4"
"165","HANS_UND_HEINZ_KIRCH_Q1489200","Cluster 3"
"166","DER_GOTTSUCHER_Q55978264","Cluster 3"
"167","UNDINE_noWikiID","Cluster 3"
"168","DER_SCHUSS_VON_DER_KANZEL_Q1196769","Cluster 4"
"169","DIE_ZAUBEREI_IM_HERBSTE_Q1217663","Cluster 4"
"170","AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS_Q777681","Cluster 4"
"171","NACHTWACHEN_Q1962904","Cluster 4"
"172","ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN_noWikiID","Cluster 3"
"173","LOLA_noWikiID","Cluster 4"
"174","DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY_Q1213243","Cluster 2"
"175","ZUM_ZEITVERTREIB_noWikiID","Cluster 2"
"176","ROMAN_AUS_DER_DECADENCE_noWikiID","Cluster 3"
"177","DIE_ZWOELF_APOSTEL_noWikiID","Cluster 2"
"178","FRAU_VON_SAVERNE_noWikiID","Cluster 4"
"179","JUERG_JENATSCH_Q1411041","Cluster 3"
"180","DER_ZWEIKAMPF_noWikiID","Cluster 4"
"181","DIE_VERLOBUNG_IN_ST._DOMINGO_noWikiID","Cluster 4"
"182","GRANDISON_DER_ZWEYTE_noWikiID","Cluster 1"
"183","LEBEN_DER_SCHWEDISCHEN_GRAEFIN_VON_G_noWikiID","Cluster 1"
"184","DIE_VERWANDLUNG_Q184222","Cluster 4"
"185","DER_GEHUELFE_Q1193785","Cluster 3"
"186","ESCH_ODER_DIE_ANARCHIE_noWikiID","Cluster 3"
"187","DER_HEILIGE_Q1194176","Cluster 3"
"188","HOMO_SUM_noWikiID","Cluster 3"
"189","EIN_KAMPF_UM_ROM_Q636812","Cluster 2"
"190","DAS_LEIDEN_EINES_KNABEN_Q1169610","Cluster 2"
"191","DAS_MAEDCHEN_VON_TREPPI_Q28071194","Cluster 3"
"192","AUS_EINER_FAMILIE_noWikiID","Cluster 4"
"193","EIN_GRUENES_BLATT_Q111150981","Cluster 4"
"194","MEISTER_TIMPE_noWikiID","Cluster 2"
"195","MARTIN_SALANDER_Q1904882","Cluster 2"
"196","MODERNE_LEBENSWIRREN_noWikiID","Cluster 3"
"197","DAS_HOELZERNE_BEIN_noWikiID","Cluster 3"
"198","SCHELMUFFSKY_Q107356648","Cluster 2"
"199","ELSE_VON_DER_TANNE_Q1333755","Cluster 3"
"200","JUDITH,_DIE_KLUSWIRTIN_noWikiID","Cluster 3"
"201","BOZENA_noWikiID","Cluster 2"
"202","NACH_DEM_GROSSEN_KRIEGE_Q1269839","Cluster 2"
"203","DIE_FAMILIE_noWikiID","Cluster 4"
"204","WILHELM_MEISTERS_THEATRALISCHE_SENDUNG_Q2574172","Cluster 1"
"205","DIE_ABDERITEN_Q1210777","Cluster 3"
"206","DER_SCHATZ_noWikiID","Cluster 4"
"207","DAS_KREUZ_IM_VENN_noWikiID","Cluster 3"
"208","DAS_WEIBERDORF_noWikiID","Cluster 3"
"209","DAS_MARMORBILD_Q1169722","Cluster 4"
"210","AHNUNG_UND_GEGENWART_Q402329","Cluster 2"
"211","DAS_SCHLOSS_DUERANDE_Q1170280","Cluster 3"
"212","SCHLOSS_UND_FABRIK_noWikiID","Cluster 2"
"213","DER_APOSTEL_(HAUPTMANN)_Q28131950","Cluster 4"
